name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
'71,0,Crab Apple Films,UK,Yann Demange,Action,1268760,R,10/10/2014,99,7.2,Jack O'Connell,40959,Gregory Burke,2014,3204,156,,1
[Rec] 2,5600000,Filmax,Spain,Jaume Balagueró,Horror,27766,R,23/10/2009,85,6.6,Jonathan D. Mellor,59366,Jaume Balagueró,2009,15,3,333256,1
[REC] 3: Genesis,6400000,Filmax,Spain,Paco Plaza,Horror,8973,R,13/04/2012,80,5,Leticia Dolera,28103,Luiso Berdejo,2012,7110,559,,0
10 Cloverfield Lane,15000000,Paramount Pictures,USA,Dan Trachtenberg,Drama,71897215,PG-13,11/03/2016,104,7.2,John Goodman,208655,Josh Campbell,2016,33421,1270,,1
10 Years,0,Anchor Bay Films,USA,Jamie Linden,Comedy,203373,PG-13,05/10/2012,100,6.1,Channing Tatum,20229,Jamie Linden,2011,680,16,70064,1
"10,000 BC",105000000,Warner Bros.,USA,Roland Emmerich,Action,94784201,PG-13,07/03/2008,109,5.1,Camilla Belle,114171,Roland Emmerich,2008,2316,185,1146004,2
12 horas para sobrevivir,9000000,Universal Pictures,France,James DeMonaco,Action,71962800,R,18/07/2014,103,6.5,Frank Grillo,110032,James DeMonaco,2014,12784,592,,0
12 Rounds,22000000,Fox Atomic,USA,Renny Harlin,Action,12232937,PG-13,27/03/2009,108,5.6,John Cena,24250,Daniel Kunka,2009,576,24,152147,1
12 Years a Slave,20000000,Regency Enterprises,USA,Steve McQueen,Biography,56671993,R,08/11/2013,134,8.1,Chiwetel Ejiofor,503763,John Ridley,2013,1058,97,,1
127 Hours,18000000,Pathé,USA,Danny Boyle,Adventure,18335230,R,28/01/2011,94,7.6,James Franco,299503,Danny Boyle,2010,1309,33,95931,1
13 Assassins,6000000,Sedic International,Japan,Takashi Miike,Action,802524,R,25/09/2010,141,7.6,Kôji Yakusho,54145,Kaneo Ikegami,2010,228,14,99851,1
13 Hours,50000000,Paramount Pictures,Malta,Michael Bay,Action,52853219,R,15/01/2016,144,7.3,John Krasinski,82656,Chuck Hogan,2016,14093,1119,,0
13 Sins,4000000,RADiUS-TWC,USA,Daniel Stamm,Horror,9134,R,11/04/2014,93,6.3,Mark Webber,26332,David Birke,2014,11854,1602,,2
1408,25000000,Dimension Films,USA,Mikael Håfström,Horror,71985628,PG-13,22/06/2007,104,6.8,John Cusack,226504,Matt Greenberg,2007,655,27,78592,0
16 Blocks,52000000,Alcon Entertainment,USA,Richard Donner,Action,36883539,PG-13,03/03/2006,102,6.6,Bruce Willis,116840,Richard Wenk,2006,463,50,305709,2
17 Again,20000000,New Line Cinema,USA,Burr Steers,Comedy,64167069,PG-13,17/04/2009,102,6.4,Zac Efron,155399,Jason Filardi,2009,62958,2548,13957882,1
2 Days in Paris,0,Polaris Film Production & Finance,France,Julie Delpy,Comedy,4432981,R,31/08/2007,96,6.8,Julie Delpy,27948,Julie Delpy,2007,412,18,320333,1
2 Guns,61000000,Universal Pictures,USA,Baltasar Kormákur,Action,75612460,R,02/08/2013,109,6.7,Denzel Washington,168840,Blake Masters,2013,558,82,,1
2012,200000000,Columbia Pictures,USA,Roland Emmerich,Action,166112167,PG-13,13/11/2009,158,5.8,John Cusack,303766,Roland Emmerich,2009,92075,9473,20746724,1
20th Century Women,7000000,A24,USA,Mike Mills,Comedy,5663855,R,20/01/2017,119,7.4,Annette Bening,20814,Mike Mills,2016,9663,241,,1
21,35000000,Columbia Pictures,USA,Robert Luketic,Crime,81159365,PG-13,28/03/2008,123,6.8,Jim Sturgess,201705,Peter Steinfeld,2008,1383119,37291,73604470,1
21 & Over,13000000,Relativity Media,USA,Jon Lucas,Comedy,25682380,R,01/03/2013,93,5.9,Miles Teller,64737,Jon Lucas,2013,1391541,37732,,2
21 Jump Street,42000000,Columbia Pictures,USA,Phil Lord,Action,138447667,R,16/03/2012,110,7.2,Jonah Hill,441919,Michael Bacall,2012,38061,950,,1
22 Jump Street,50000000,Columbia Pictures,USA,Phil Lord,Action,191719337,R,13/06/2014,112,7.1,Channing Tatum,288814,Michael Bacall,2014,34173,1767,,1
27 Dresses,30000000,Fox 2000 Pictures,USA,Anne Fletcher,Comedy,76808654,PG-13,18/01/2008,111,6.1,Katherine Heigl,133431,Aline Brosh McKenna,2008,3661,99,1594629,1
28 Weeks Later,15000000,Fox Atomic,UK,Juan Carlos Fresnadillo,Drama,28638916,R,11/05/2007,100,7,Jeremy Renner,225731,Rowan Joffe,2007,36267,1205,5316950,1
3 Days to Kill,28000000,EuropaCorp,USA,McG,Action,30697999,PG-13,21/02/2014,117,6.2,Kevin Costner,75138,Adi Hasak,2014,12250,605,,2
3 Generations,5000000,Big Beach Films,USA,Gaby Dellal,Drama,66371,PG-13,29/09/2016,92,5.6,Naomi Watts,2608,Nikole Beckwith,2015,4726,2052,,1
3 Idiots,0,Vinod Chopra Productions,India,Rajkumar Hirani,Adventure,6532908,PG-13,25/12/2009,170,8.4,Aamir Khan,250762,Rajkumar Hirani,2009,27308,3869,6956149,2
3:10 to Yuma,55000000,Lionsgate,USA,James Mangold,Adventure,53606916,R,07/09/2007,122,7.7,Russell Crowe,252471,Halsted Welles,2007,19,6,428835,1
30 Days of Night,32000000,Columbia Pictures,USA,David Slade,Horror,39568996,R,19/10/2007,113,6.6,Josh Hartnett,146606,Steve Niles,2007,897,51,134590,1
30 minutos o menos,28000000,Columbia Pictures,Germany,Ruben Fleischer,Action,37053924,R,12/08/2011,83,6.1,Jesse Eisenberg,82495,Michael Diliberti,2011,274,61,67940,0
300,65000000,Warner Bros.,USA,Zack Snyder,Action,210614939,R,09/03/2007,117,7.7,Gerard Butler,648211,Zack Snyder,2006,97689,4492,31719738,1
300: Rise of an Empire,110000000,Warner Bros.,USA,Noam Murro,Action,106580051,R,07/03/2014,102,6.2,Sullivan Stapleton,242932,Zack Snyder,2014,4301,347,,0
31,1500000,Bow and Arrow Entertainment,UK,Rob Zombie,Horror,779820,R,16/09/2016,102,5,Malcolm McDowell,11945,Rob Zombie,2016,564,7,,0
360,0,BBC Films,UK,Fernando Meirelles,Drama,99603,R,10/08/2012,110,6.2,Rachel Weisz,14114,Peter Morgan,2011,295830,39453,52628576,0
"4 Months, 3 Weeks and 2 Days",0,Mobra Films,Romania,Cristian Mungiu,Drama,1185783,NOT RATED,18/04/2008,113,7.9,Anamaria Marinca,48360,Cristian Mungiu,2007,354,17,206207,1
42,40000000,Warner Bros.,USA,Brian Helgeland,Biography,95001343,PG-13,12/04/2013,128,7.5,Chadwick Boseman,71006,Brian Helgeland,2013,23729,441,,1
45 Years,0,BFI Film Fund,UK,Andrew Haigh,Drama,4250507,R,25/12/2015,91,7.1,Charlotte Rampling,23800,Andrew Haigh,2015,1818,494,,1
47 Ronin,175000000,H2F Entertainment,USA,Carl Rinsch,Action,38362475,PG-13,25/12/2013,119,6.3,Keanu Reeves,125778,Chris Morgan,2013,44535,2067,,1
5 to 7,0,Demarest Films,USA,Victor Levin,Comedy,116400,R,24/04/2015,95,7.1,Anton Yelchin,13188,Victor Levin,2014,1370,87,,1
50/50,8000000,Summit Entertainment,USA,Jonathan Levine,Comedy,35014192,R,30/09/2011,100,7.7,Joseph Gordon-Levitt,285675,Will Reiser,2011,34,12,1778437,1
500 Days of Summer,7500000,Fox Searchlight Pictures,USA,Marc Webb,Comedy,32391374,PG-13,07/08/2009,95,7.7,Zooey Deschanel,407875,Scott Neustadter,2009,53654,1316,19494959,0
88 Minutes,30000000,Millennium Films,USA,Jon Avnet,Crime,16930884,R,18/04/2008,108,5.9,Al Pacino,68510,Gary Scott Thompson,2007,121,8,26762,2
9,30000000,Focus Features,USA,Shane Acker,Animation,31743332,PG-13,09/09/2009,79,7.1,Elijah Wood,117268,Pamela Pettler,2009,109,16,2630737,0
90 Minutes in Heaven,5000000,Astute Films,USA,Michael Polish,Drama,4700361,PG-13,11/09/2015,121,4.7,Kate Bosworth,2631,Michael Polish,2015,2625,207,,2
99 Homes,8000000,Broad Green Pictures,USA,Ramin Bahrani,Drama,1410915,R,09/10/2015,112,7.1,Andrew Garfield,22416,Ramin Bahrani,2014,20242,379,,1
A Bigger Splash,0,Frenesy Film Company,Italy,Luca Guadagnino,Drama,1982505,R,13/05/2016,125,6.4,Tilda Swinton,16900,David Kajganich,2015,6417,520,,0
A Brilliant Young Mind,0,BBC Films,UK,Morgan Matthews,Drama,139511,PG-13,11/09/2015,111,7.2,Asa Butterfield,22615,James Graham,2014,7844,102,,1
A Christmas Carol,200000000,Walt Disney Pictures,USA,Robert Zemeckis,Animation,137855863,PG,06/11/2009,96,6.8,Jim Carrey,80819,Robert Zemeckis,2009,1446,36,153785,1
A Cure for Wellness,40000000,Regency Enterprises,USA,Gore Verbinski,Drama,8106986,R,17/02/2017,146,6.4,Dane DeHaan,45187,Justin Haythe,2016,27967,2250,,1
A Dangerous Method,0,Recorded Picture Company (RPC),UK,David Cronenberg,Biography,5702083,R,28/06/2012,99,6.5,Michael Fassbender,86882,Christopher Hampton,2011,790,56,474038,2
A Good Day to Die Hard,92000000,Twentieth Century Fox Film Corporation,USA,John Moore,Action,67349198,R,14/02/2013,98,5.3,Bruce Willis,175817,Skip Woods,2013,2290,91,,1
A Good Old Fashioned Orgy,0,Endgame Entertainment,USA,Alex Gregory,Comedy,154604,R,27/10/2011,95,6.2,Jason Sudeikis,18896,Alex Gregory,2011,464,74,435400,1
A Good Year,35000000,Fox 2000 Pictures,USA,Ridley Scott,Comedy,7458269,PG-13,10/11/2006,117,6.9,Russell Crowe,76333,Marc Klein,2006,19,7,364635,1
A Guide to Recognizing Your Saints,0,Belladonna Productions,USA,Dito Montiel,Crime,516139,R,13/10/2006,100,7,Robert Downey Jr.,23014,Dito Montiel,2006,280,6,61819,0
A Haunted House,2500000,Open Road Films,USA,Michael Tiddes,Comedy,40041683,R,11/01/2013,86,5.1,Marlon Wayans,37158,Marlon Wayans,2013,54255,2807,,0
A Haunted House 2,4000000,Baby Way Productions,USA,Michael Tiddes,Comedy,17329486,R,18/04/2014,86,4.7,Marlon Wayans,16194,Marlon Wayans,2014,538,43,,2
A Hijacking,0,Nordisk Film,Denmark,Tobias Lindholm,Drama,413276,R,20/09/2012,103,7.2,Pilou Asbæk,13530,Tobias Lindholm,2012,307,40,,1
A Hologram for the King,30000000,X-Filme Creative Pool,UK,Tom Tykwer,Comedy,4198126,R,10/06/2016,98,6.1,Tom Hanks,29436,Dave Eggers,2016,10521,6912,,0
A Late Quartet,0,Opening Night Productions,USA,Yaron Zilberman,Drama,1561577,R,23/11/2012,105,7.1,Philip Seymour Hoffman,12008,Seth Grossman,2012,483,28,,2
A Little Bit of Heaven,0,Davis Entertainment,USA,Nicole Kassell,Comedy,10011,PG-13,04/05/2012,100,6.3,Kate Hudson,24736,Gren Wells,2011,3402,148,1387019,1
A Little Chaos,0,BBC Films,UK,Alan Rickman,Drama,551609,R,26/06/2015,112,6.5,Kate Winslet,15294,Jeremy Brock,2014,11154,318,,1
A Little Help,0,Secret Handshake Entertainment,USA,Michael J. Weithorn,Comedy,85789,R,22/07/2011,100,5.7,Jenna Fischer,2787,Michael J. Weithorn,2010,12017,407,1475306,1
A Long Way Down,0,Wildgaze Films,UK,Pascal Chaumeil,Comedy,13093,R,05/06/2014,96,6.4,Pierce Brosnan,27014,Nick Hornby,2014,1223,23,,1
A Mighty Heart,16000000,Paramount Vantage,USA,Michael Winterbottom,Biography,9176787,R,22/06/2007,108,6.7,Angelina Jolie,24917,John Orloff,2007,61,6,226982,1
A Million Ways to Die in the West,40000000,Bluegrass Films,USA,Seth MacFarlane,Comedy,43139300,R,30/05/2014,116,6.1,Seth MacFarlane,147947,Seth MacFarlane,2014,18183,945,,1
A Monster Calls,43000000,Apaches Entertainment,UK,J.A. Bayona,Drama,3730982,PG-13,06/01/2017,108,7.5,Lewis MacDougall,49969,Patrick Ness,2016,47065,1526,,1
A Most Violent Year,20000000,Before The Door Pictures,USA,J.C. Chandor,Crime,5740310,R,30/01/2015,125,7,Oscar Isaac,52607,J.C. Chandor,2014,3385,249,,0
A Most Wanted Man,15000000,Lionsgate,UK,Anton Corbijn,Crime,17237244,R,01/08/2014,122,6.8,Philip Seymour Hoffman,62647,Andrew Bovell,2014,2554,288,,1
A Nightmare on Elm Street,35000000,New Line Cinema,USA,Samuel Bayer,Horror,63075011,R,30/04/2010,95,5.2,Jackie Earle Haley,79930,Wesley Strick,2010,49450,559,3121965,1
A Perfect Getaway,14000000,Rogue,USA,David Twohy,Adventure,15483540,R,07/08/2009,98,6.5,Milla Jovovich,59667,David Twohy,2009,430,36,167303,1
A Prophet,0,Why Not Productions,France,Jacques Audiard,Crime,2084637,R,26/03/2010,155,7.9,Tahar Rahim,83124,Thomas Bidegain,2009,133,1,16790,2
A Royal Affair,0,Zentropa Entertainments,Denmark,Nikolaj Arcel,Biography,1546761,R,08/03/2013,137,7.6,Alicia Vikander,37338,Bodil Steensen-Leth,2012,609,27,,1
A Scanner Darkly,8700000,Warner Independent Pictures (WIP),USA,Richard Linklater,Animation,5501616,R,28/07/2006,100,7.1,Keanu Reeves,94464,Philip K. Dick,2006,6616,163,1091949,1
A Separation,500000,Asghar Farhadi Productions,Iran,Asghar Farhadi,Drama,7098492,PG-13,20/04/2012,123,8.4,Payman Maadi,170427,Asghar Farhadi,2011,1306,51,150540,0
A Serious Man,7000000,Focus Features,USA,Ethan Coen,Comedy,9190525,R,06/11/2009,106,7,Michael Stuhlbarg,110208,Joel Coen,2009,1433,56,366064,1
A Single Man,7000000,Fade to Black Productions,USA,Tom Ford,Drama,9166863,R,05/02/2010,99,7.6,Colin Firth,92447,Christopher Isherwood,2009,751,35,237252,2
A Street Cat Named Bob,8000000,Shooting Script Films,UK,Roger Spottiswoode,Biography,35070,UNRATED,18/11/2016,103,7.4,Luke Treadaway,16636,James Bowen,2016,13632,242,,0
A Thousand Words,40000000,DreamWorks,USA,Brian Robbins,Comedy,18438149,PG-13,09/03/2012,91,5.9,Eddie Murphy,33384,Steve Koren,2012,2070,58,,1
A United Kingdom,14000000,Pathé,Czech Republic,Amma Asante,Biography,3901302,PG-13,10/02/2017,111,6.8,David Oyelowo,7236,Guy Hibbert,2016,27117,3496,,0
A Very Harold & Kumar 3D Christmas,19000000,New Line Cinema,USA,Todd Strauss-Schulson,Adventure,35033759,R,04/11/2011,90,6.3,Kal Penn,58470,Jon Hurwitz,2011,978,53,341431,2
A Walk Among the Tombstones,28000000,1984 Private Defense Contractors,USA,Scott Frank,Crime,26307600,R,19/09/2014,114,6.5,Liam Neeson,95753,Lawrence Block,2014,3852,518,,2
A Walk in the Woods,8000000,Route One Entertainment,USA,Ken Kwapis,Adventure,29467855,R,02/09/2015,104,6.3,Robert Redford,18661,Michael Arndt,2015,463,64,,1
Abduction,35000000,Lionsgate,USA,John Singleton,Action,28087155,PG-13,23/09/2011,106,5.1,Taylor Lautner,68380,Shawn Christensen,2011,267827,3477,15426117,0
About Cherry,2500000,Enderby Entertainment,USA,Stephen Elliott,Drama,2760,R,09/08/2012,98,4.8,Ashley Hinshaw,8592,Stephen Elliott,2012,648,95,,0
About Elly,0,Dreamlab,Iran,Asghar Farhadi,Drama,106662,Not specified,06/06/2009,119,8.1,Golshifteh Farahani,31740,Asghar Farhadi,2009,97,7,15399,1
About Last Night,12500000,Screen Gems,USA,Steve Pink,Comedy,48637684,R,14/02/2014,100,6.1,Kevin Hart,18519,Leslye Headland,2014,839,73,,2
About Time,12000000,Translux,UK,Richard Curtis,Comedy,15322921,R,08/11/2013,123,7.8,Domhnall Gleeson,228554,Richard Curtis,2013,47309,975,,0
Abraham Lincoln: Vampire Hunter,69000000,Abraham Productions,USA,Timur Bekmambetov,Action,37519139,R,22/06/2012,105,5.9,Benjamin Walker,135188,Seth Grahame-Smith,2012,6002,488,,0
Absolutely Fabulous: The Movie,0,Fox Searchlight Pictures,UK,Mandie Fletcher,Comedy,4750497,R,22/07/2016,91,5.4,Jennifer Saunders,9161,Jennifer Saunders,2016,11432,850,,1
Accepted,23000000,Universal Pictures,USA,Steve Pink,Comedy,36323505,PG-13,18/08/2006,93,6.5,Justin Long,110788,Adam Cooper,2006,19,17,561636,1
Across the Universe,45000000,Revolution Studios,USA,Julie Taymor,Drama,24343673,PG-13,12/10/2007,133,7.4,Evan Rachel Wood,96537,Dick Clement,2007,17511,747,1921260,1
Act of Valor,12000000,Relativity Media,USA,Mike McCoy,Action,70012847,R,24/02/2012,110,6.5,Alex Veadov,60703,Kurt Johnstad,2012,52120,3067,,1
Adam,0,Olympus Pictures,USA,Max Mayer,Drama,2277396,PG-13,28/08/2009,99,7.2,Hugh Dancy,30860,Max Mayer,2009,69772,1739,5608462,0
Addicted,5000000,Codeblack Entertainment,USA,Bille Woodruff,Drama,17382982,R,10/10/2014,106,5.2,Sharon Leal,6772,Christina Welsh,2014,708,17,,2
Adore,16000000,Gaumont,Australia,Anne Fontaine,Drama,317125,R,25/10/2013,100,6.2,Naomi Watts,26214,Anne Fontaine,2013,3597,51,,1
Adult World,0,Treehouse Pictures,USA,Scott Coffey,Comedy,16740,R,14/02/2014,97,6.2,Emma Roberts,14692,Andy Cochran,2013,391,6,,0
Adventureland,0,Miramax,USA,Greg Mottola,Comedy,16025394,R,03/04/2009,100,6.8,Jesse Eisenberg,139072,Greg Mottola,2009,8,7,347331,0
After Earth,130000000,Columbia Pictures,USA,M. Night Shyamalan,Action,60522097,PG-13,31/05/2013,100,4.9,Jaden Smith,169422,Gary Whitta,2013,6768,473,,0
After.Life,4500000,Lleju Productions,USA,Agnieszka Wojtowicz-Vosloo,Drama,108229,R,24/06/2011,100,5.9,Christina Ricci,32597,Agnieszka Wojtowicz-Vosloo,2009,14451,519,1171777,1
Afternoon Delight,0,Whitewater Films,USA,Jill Soloway,Comedy,174496,R,11/12/2013,98,5.8,Kathryn Hahn,8099,Jill Soloway,2013,19699,663,,1
Aftershock,2000000,Sobras International Pictures,USA,Nicolás López,Action,40179,R,12/06/2014,89,4.8,Eli Roth,9333,Nicolás López,2012,40020,751,,1
Agentes Secretos,23000000,Relativity Media,Ireland,Steven Soderbergh,Action,18942396,R,20/01/2012,93,5.8,Gina Carano,75489,Lem Dobbs,2011,165758,3591,2666379,2
Agora,70000000,Mod Producciones,Spain,Alejandro Amenábar,Adventure,617840,R,10/09/2010,127,7.2,Rachel Weisz,56850,Alejandro Amenábar,2009,15,6,570972,2
Ain't Them Bodies Saints,0,Sailor Bear,USA,David Lowery,Crime,387606,R,16/08/2013,96,6.4,Rooney Mara,17678,David Lowery,2013,1672,94,,1
Aislados,3000000,Instinctive Film,Germany,Xavier Gens,Drama,22000,R,20/04/2012,112,5.8,Lauren German,31955,Karl Mueller,2011,76,4,10278,0
Akeelah and the Bee,0,Out of the Blue... Entertainment,USA,Doug Atchison,Drama,18811135,PG,28/04/2006,100,7.5,Angela Bassett,16244,Doug Atchison,2006,29,10,220555,1
Al otro lado del mundo,19400000,WIP,China,John Curran,Drama,8060487,PG-13,19/01/2007,125,7.5,Naomi Watts,81655,Ron Nyswaner,2006,5815,568,1058665,0
Albert Nobbs,8000000,Mockingbird Pictures,UK,Rodrigo García,Drama,3014696,R,08/06/2012,113,6.7,Glenn Close,20844,Gabriella Prekop,2011,6,0,44071,1
Alex Cross,35000000,Block / Hanson,USA,Rob Cohen,Action,25888412,PG-13,19/10/2012,101,5.1,Tyler Perry,29622,Marc Moss,2012,1727,67,,1
Alex Rider: Operation Stormbreaker,40000000,Samuelson Productions,UK,Geoffrey Sax,Action,652526,PG,13/10/2006,93,5.1,Alex Pettyfer,21238,Anthony Horowitz,2006,295,46,63905,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,Walt Disney Pictures,USA,Miguel Arteta,Comedy,66954149,PG,10/10/2014,81,6.2,Steve Carell,33226,Rob Lieber,2014,15419,1118,,2
Alice in Wonderland,200000000,Walt Disney Pictures,USA,Tim Burton,Adventure,334191110,PG,05/03/2010,108,6.5,Mia Wasikowska,331389,Linda Woolverton,2010,244,139,6038763,1
Alice Through the Looking Glass,170000000,Walt Disney Pictures,USA,James Bobin,Adventure,77042381,PG,27/05/2016,113,6.2,Mia Wasikowska,62895,Linda Woolverton,2016,54604,2047,,1
Aliens in the Attic,45000000,Twentieth Century Fox Film Corporation,USA,John Schultz,Animation,25200412,PG,31/07/2009,86,5.4,Ashley Tisdale,17909,Mark Burton,2009,533,201,267665,1
Aliens vs. Predator: Requiem,40000000,Twentieth Century Fox Film Corporation,USA,Colin Strause,Action,41797066,R,25/12/2007,94,4.7,Reiko Aylesworth,100087,Shane Salerno,2007,41276,437,1664714,0
All About Steve,15000000,Fox 2000 Pictures,USA,Phil Traill,Comedy,33860010,PG-13,04/09/2009,99,4.8,Sandra Bullock,34902,Kim Barker,2009,3197,184,1854675,0
All Good Things,0,Groundswell Productions,USA,Andrew Jarecki,Crime,578382,R,03/06/2011,101,6.3,Ryan Gosling,45225,Marcus Hinchey,2010,613,28,380642,1
All Is Lost,9000000,Before The Door Pictures,USA,J.C. Chandor,Action,6263670,PG-13,07/11/2013,106,6.9,Robert Redford,64524,J.C. Chandor,2013,1234,82,,1
All the King's Men,55000000,Columbia Pictures Corporation,Germany,Steven Zaillian,Drama,7221458,PG-13,22/09/2006,128,6.2,Sean Penn,21583,Steven Zaillian,2006,5257,53,361805,1
Allegiant,110000000,Mandeville Films,USA,Robert Schwentke,Action,66002193,PG-13,18/03/2016,120,5.7,Shailene Woodley,76550,Noah Oppenheim,2016,9604,295,,1
Allied,85000000,GK Films,UK,Robert Zemeckis,Action,40069087,R,23/11/2016,124,7.1,Brad Pitt,94624,Steven Knight,2016,20472,803,,1
Almost Christmas,17000000,Perfect World Pictures (Beijing),USA,David E. Talbert,Comedy,41715860,PG-13,11/11/2016,111,6,Kimberly Elise,3366,David E. Talbert,2016,10750,1231,,0
Aloha,37000000,Columbia Pictures,USA,Cameron Crowe,Comedy,20991497,PG-13,29/05/2015,105,5.4,Bradley Cooper,46828,Cameron Crowe,2015,22901,1620,,1
Alpha and Omega,20000000,Lions Gate Family Entertainment,USA,Anthony Bell,Animation,25077977,PG,17/09/2010,90,5.3,Hayden Panettiere,11636,Chris Denk,2010,37000,2000,16625437,1
Alps: Los suplantadores,0,Haos Film,Greece,Yorgos Lanthimos,Drama,5981,NOT RATED,01/11/2013,100,6.4,Stavros Psyllakis,5996,Efthymis Filippou,2011,2,0,39154,0
Alucinaciones,0,Capitol Films,Ireland,Paddy Breathnach,Comedy,1849,UNRATED,21/08/2009,84,4.7,Lindsey Haun,14453,Pearse Elliott,2007,18454,1167,3707818,0
Alvin and the Chipmunks,60000000,Fox 2000 Pictures,USA,Tim Hill,Animation,217326974,PG,14/12/2007,92,5.2,Jason Lee,62132,Jon Vitti,2007,795,231,5401489,1
Alvin and the Chipmunks: Chipwrecked,75000000,Fox 2000 Pictures,USA,Mike Mitchell,Animation,133110742,G,16/12/2011,87,4.4,Justin Long,24939,Jonathan Aibel,2011,5101,1020,1613757,1
Alvin and the Chipmunks: The Road Chip,90000000,Fox 2000 Pictures,USA,Walt Becker,Animation,85886987,PG,18/12/2015,100,5.1,Jason Lee,12069,Ross Bagdasarian,2015,742,42,,1
Alvin and the Chipmunks: The Squeakquel,75000000,Fox 2000 Pictures,USA,Betty Thomas,Animation,219614612,PG,23/12/2009,88,4.5,Jason Lee,34731,Jon Vitti,2009,47157,927,2120780,0
Amazing Grace,0,Bristol Bay Productions,USA,Michael Apted,Biography,21208358,PG,23/02/2007,118,7.5,Ioan Gruffudd,21869,Steven Knight,2006,289554,15935,54701993,1
Amelia,40000000,Fox Searchlight Pictures,USA,Mira Nair,Adventure,14241034,PG,23/10/2009,111,5.8,Hilary Swank,10609,Ronald Bass,2009,18450,6791,5868176,2
American Dreamz,17000000,Universal Pictures,USA,Paul Weitz,Comedy,7191830,PG-13,21/04/2006,107,5.5,Hugh Grant,23173,Paul Weitz,2006,21517,1476,1070433,1
American Gangster,100000000,Universal Pictures,USA,Ridley Scott,Biography,130164645,R,02/11/2007,157,7.8,Denzel Washington,342994,Steven Zaillian,2007,29830,847,7129304,0
American Honey,0,Parts and Labor,UK,Andrea Arnold,Adventure,662786,R,25/11/2016,163,7,Sasha Lane,23250,Andrea Arnold,2016,56057,1569,,1
American Hustle,40000000,Columbia Pictures,USA,David O. Russell,Crime,150117807,R,20/12/2013,138,7.3,Christian Bale,386428,Eric Warren Singer,2013,11273,942,,1
American Reunion,50000000,Universal Pictures,USA,Jon Hurwitz,Comedy,57011521,R,06/04/2012,113,6.7,Jason Biggs,181067,Jon Hurwitz,2012,970,26,,1
American Sniper,58800000,Warner Bros.,USA,Clint Eastwood,Action,350126372,R,16/01/2015,133,7.3,Bradley Cooper,362949,Jason Hall,2014,2761,102,,0
American Ultra,28000000,PalmStar Media,USA,Nima Nourizadeh,Action,14434604,R,21/08/2015,100,6.1,Jesse Eisenberg,67391,Max Landis,2015,24247,744,,1
Amores asesinos,18000000,Millennium Films,Germany,Todd Robinson,Crime,188565,R,20/07/2007,108,6.5,John Travolta,18418,Todd Robinson,2006,1459,16,36261,0
Amores infieles,28000000,Corsan,Belgium,Paul Haggis,Drama,1019038,R,20/03/2015,137,6.4,Liam Neeson,22766,Paul Haggis,2013,236559,17122,,0
Amour,8900000,Les Films du Losange,Austria,Michael Haneke,Drama,6739492,PG-13,20/09/2012,127,7.9,Jean-Louis Trintignant,77023,Michael Haneke,2012,328,10,,1
An Education,0,BBC Films,UK,Lone Scherfig,Drama,12574715,PG-13,05/02/2010,100,7.3,Carey Mulligan,117159,Lynn Barber,2009,1356,36,747010,1
Anchorman 2: The Legend Continues,50000000,Paramount Pictures,USA,Adam McKay,Comedy,127352707,PG-13,18/12/2013,119,6.3,Will Ferrell,142452,Will Ferrell,2013,14949,1593,,0
And So It Goes,18000000,ASIG Productions,USA,Rob Reiner,Comedy,15155772,PG-13,25/07/2014,94,5.8,Michael Douglas,10327,Mark Andrus,2014,23343,605,,2
Angels & Demons,150000000,Columbia Pictures,USA,Ron Howard,Mystery,133375846,PG-13,15/05/2009,138,6.7,Tom Hanks,232877,David Koepp,2009,469138,16327,112522097,1
Animal Kingdom,0,Porchlight Films,Australia,David Michôd,Crime,1044039,R,03/06/2010,113,7.3,James Frecheville,48461,David Michôd,2010,366,40,64306,1
Anna,7000000,"Safran Company, The",Spain,Jorge Dorado,Drama,4288,R,24/01/2014,99,6.5,Mark Strong,16817,Guy Holmes,2013,673,26,,0
Anna Karenina,0,Universal Pictures,UK,Joe Wright,Drama,12816367,R,01/03/2013,129,6.6,Keira Knightley,77083,Tom Stoppard,2012,6862,223,,1
Annabelle,6500000,New Line Cinema,USA,John R. Leonetti,Horror,84273813,R,03/10/2014,99,5.4,Ward Horton,99635,Gary Dauberman,2014,83565,11098,,1
Annapolis,26000000,Touchstone Pictures,USA,Justin Lin,Drama,17127992,PG-13,27/01/2006,108,5.8,James Franco,18618,David Collard,2006,1740,76,918388,1
Annie,65000000,Marcy Media,USA,Will Gluck,Comedy,85911262,PG,19/12/2014,118,5.3,Quvenzhané Wallis,28204,Will Gluck,2014,79732,7007,,1
Anomalisa,8000000,Harmonius Claptrap,USA,Duke Johnson,Animation,3442820,R,05/02/2016,90,7.2,David Thewlis,47499,Charlie Kaufman,2015,2762,172,,1
Anonymous,30000000,Columbia Pictures,UK,Roland Emmerich,Drama,4463292,PG-13,02/12/2011,130,6.9,Rhys Ifans,36079,John Orloff,2011,7695,757,4592686,1
