name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
"Hello, My Name Is Doris",1000000,Red Crown Productions,USA,Michael Showalter,Comedy,14443077,R,01/04/2016,90,6.7,Sally Field,14007,Laura Terruso,2015,13473,435,,1
Henry's Crime,12000000,Company Films,USA,Malcolm Venville,Comedy,101882,R,14/01/2011,108,6,Keanu Reeves,16513,Sacha Gervasi,2010,13,1,4385,2
Her,23000000,Annapurna Pictures,USA,Spike Jonze,Drama,25568251,R,10/01/2014,126,8,Joaquin Phoenix,404796,Spike Jonze,2013,270508,5440,,1
Hercules,100000000,Paramount Pictures,USA,Brett Ratner,Action,72688614,PG-13,25/07/2014,98,6,Dwayne Johnson,125393,Ryan Condal,2014,21672,1042,,0
Here Comes the Boom,42000000,Columbia Pictures,USA,Frank Coraci,Action,45290318,PG,12/10/2012,105,6.4,Kevin James,77895,Allan Loeb,2012,256002,10724,,1
Hereafter,50000000,Warner Bros.,USA,Clint Eastwood,Drama,32746941,PG-13,22/10/2010,129,6.5,Matt Damon,83345,Peter Morgan,2010,593,26,331048,1
Hesher,7000000,"Last Picture Company, The",USA,Spencer Susser,Comedy,382946,R,25/06/2011,106,7.1,Joseph Gordon-Levitt,46153,Spencer Susser,2010,30805,1185,3450858,1
Hidden Figures,25000000,Levantine Films,USA,Theodore Melfi,Biography,169380936,PG,06/01/2017,127,7.8,Taraji P. Henson,121818,Allison Schroeder,2016,44513,2924,,0
High-Rise,0,HanWay Films,UK,Ben Wheatley,Drama,343139,R,28/04/2016,119,5.7,Tom Hiddleston,28067,Amy Jump,2015,10246,266,,2
High School Musical 3: Senior Year,11000000,Walt Disney Pictures,USA,Kenny Ortega,Comedy,90559416,G,24/10/2008,112,4.6,Zac Efron,47545,Peter Barsocchini,2008,78718,1724,14041820,0
Hit and Run,2000000,Exclusive Media Group,USA,David Palmer,Action,13746550,R,22/08/2012,100,6.1,Dax Shepard,30897,Dax Shepard,2012,1338,24,,2
