budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Likes,Dislike
8500000,Lucasfilm Animation,USA,Dave Filoni,Animation,35161554,Star Wars: The Clone Wars,PG,15-08-2008,98,5.9,Matt Lanter,45749,Henry Gilroy,2008,4946,104
15000000,Filmax International,UK,Brad Anderson,Crime,2203641,Transsiberian,R,05-09-2008,111,6.7,Woody Harrelson,44948,Brad Anderson,2008,24906,1743
25000000,Paramount Pictures,USA,Kimberly Peirce,Drama,10911750,Stop-Loss,R,28-03-2008,112,6.5,Ryan Phillippe,18404,Mark Richard,2008,1,3
5000000,Jackson Income Fund,USA,Michael Keaton,Crime,346286,The Merry Gentleman,R,04-12-2009,110,6.6,Michael Keaton,2365,Ron Lazzeretti,2008,109,12
20000000,Ecosse Films,UK,Julian Jarrold,Drama,6414563,Brideshead Revisited,PG-13,15-08-2008,100,6.7,Matthew Goode,10581,Andrew Davies,2008,44,3
60000000,Twentieth Century Fox Film Corporation,USA,Brian Robbins,Adventure,11802056,Meet Dave,PG,11-07-2008,90,4.9,Eddie Murphy,33540,Rob Greenberg,2008,365,28
0,Isabella Films B.V.,Netherlands,Martin Koolhoven,Drama,542860,Oorlogswinter,R,27-11-2008,103,7,Martijn Lakemeier,10819,Mieke de Jong,2008,834,123
5000000,Shocking Bottle,USA,Randall Miller,Comedy,4040588,Bottle Shock,PG-13,05-09-2008,110,6.8,Chris Pine,13051,Jody Savin,2008,48,4
0,Lookout Films,USA,Jason Freeland,Drama,19853,Garden Party,NOT RATED,30-05-2008,88,5.6,Erik Smith,3113,Jason Freeland,2008,7953,279
10000000,Canal+ España,Spain,Álex de la Iglesia,Crime,3607,The Oxford Murders,R,02-07-2010,104,6.1,Elijah Wood,24282,Álex de la Iglesia,2008,271,49
0,Roadside Attractions,USA,Cyrus Nowrasteh,Drama,655647,The Stoning of Soraya M.,R,13-05-2011,100,8,Shohreh Aghdashloo,15433,Betsy Giffen Nowrasteh,2008,477,29
22000000,Overture Films,USA,Jeffrey Nachmanoff,Action,23530831,Traitor,PG-13,27-08-2008,114,7,Don Cheadle,50958,Jeffrey Nachmanoff,2008,413,33
21000000,Touchstone Pictures,USA,Joshua Michael Stern,Comedy,16284360,Swing Vote,PG-13,01-08-2008,120,6.1,Kevin Costner,15740,Jason Richman,2008,80,7
10000000,Barunson,South Korea,Jee-woon Kim,Action,128486,The Good the Bad the Weird,R,17-07-2008,120,7.3,Kang-ho Song,28325,Jee-woon Kim,2008,873,22
25000000,2929 Productions,USA,Barry Levinson,Comedy,1090947,What Just Happened,R,31-10-2008,104,5.7,Robert De Niro,24511,Art Linson,2008,82,11
0,Dimension Films,USA,Larry Bishop,Action,194287,Hell Ride,R,17-01-2009,84,5.1,Larry Bishop,14535,Larry Bishop,2008,173,14
27000000,Alcon Entertainment,Japan,Eric Valette,Horror,26876529,One Missed Call,PG-13,04-01-2008,87,4,Edward Burns,27947,Andrew Klavan,2008,1771,94
18000000,Senator Entertainment Co,Germany,Gregor Jordan,Crime,300000,The Informers,R,24-04-2009,98,5.1,Billy Bob Thornton,14783,Bret Easton Ellis,2008,123,22
1500000,Bridgit Folman Film Gang,Israel,Ari Folman,Animation,2283276,Waltz with Bashir,R,15-07-2009,90,8,Ari Folman,48937,Ari Folman,2008,821,37
25000000,Exodus Film Group,USA,Tony Leondis,Animation,19528602,Igor,PG,19-09-2008,87,6,John Cusack,20476,Chris McKenna,2008,269,27
0,Pathé Renn Productions,France,Dany Boon,Comedy,1477650,Welcome to the Sticks,NOT RATED,27-02-2008,106,7.1,Kad Merad,33194,Dany Boon,2008,188,13
20000000,Pelican Productions LLC (I),USA,Fred Wolf,Adventure,6563357,Strange Wilderness,R,01-02-2008,100,5.3,Steve Zahn,19380,Peter Gaulke,2008,446,35
60000000,Universal Pictures,UK,Sam Fell,Animation,50877145,The Tale of Despereaux,G,19-12-2008,93,6.1,Matthew Broderick,32512,Kate DiCamillo,2008,271,37
0,Constantin Film,Germany,Uli Edel,Action,476270,The Baader Meinhof Complex,R,25-09-2008,150,7.4,Martina Gedeck,31532,Bernd Eichinger,2008,596,43
0,Harbinger Pictures,USA,Tate Taylor,Comedy,6537,Pretty Ugly People,R,12-04-2008,99,5,Missi Pyle,1567,Tate Taylor,2008,5819,852
0,"Tyler Perry Company, The",USA,Tyler Perry,Comedy,41939392,Meet the Browns,PG-13,21-03-2008,100,4.1,Tamela J. Mann,5913,Tyler Perry,2008,6600,121
25000000,Edward R. Pressman Film,USA,Simon Hunter,Action,6820,Mutant Chronicles,R,08-01-2010,111,5.2,Thomas Jane,24230,Philip Eisner,2008,229,23
25000000,CinemaNX,UK,Richard Linklater,Drama,1186957,Me and Orson Welles,PG-13,18-12-2009,114,6.8,Zac Efron,9720,Robert Kaplow,2008,181,6
6000000,Occupant Entertainment,UK,Jonathan Levine,Comedy,2077116,The Wackness,R,01-08-2008,99,7,Josh Peck,28052,Jonathan Levine,2008,992,79
0,Nimbus Film Productions,Denmark,Ole Christian Madsen,Drama,145109,Flame & Citron,NOT RATED,28-03-2008,130,7.3,Thure Lindhardt,15298,Lars Kristian Andersen,2008,227,7
0,Walt Disney Pictures,USA,Roger Kumble,Adventure,45588608,College Road Trip,G,07-03-2008,83,4.3,Raven-Symoné,13864,Emi Mochizuki,2008,160,8
20000000,Mandeville Films,USA,Raja Gosnell,Adventure,94514402,Beverly Hills Chihuahua,PG,03-10-2008,91,3.7,Drew Barrymore,18775,Analisa LaBianco,2008,532,51
3500000,Lago Film,USA,Jennifer Lynch,Crime,27349,Surveillance,R,24-04-2009,97,6.4,Julia Ormond,15448,Kent Harper,2008,1286,33
0,Go Films,USA,Ryan Little,Drama,630649,Forever Strong,PG-13,26-09-2008,100,7.3,Sean Faris,9361,David Pliler,2008,3152,190
5000000,Huntington Prep,USA,Mickey Liddell,Drama,13350177,The Haunting of Molly Hartley,PG-13,31-10-2008,82,3.9,Haley Bennett,8232,John Travis,2008,1085,164
0,Warp X,UK,Oliver Blackburn,Crime,18378,Donkey Punch,R,18-07-2008,99,5.2,Sian Breckin,9738,Oliver Blackburn,2008,48,14
0,Screen Gems,USA,David E. Talbert,Comedy,37931869,First Sunday,PG-13,11-01-2008,100,4.3,Ice Cube,8271,David E. Talbert,2008,481,62
22000000,Big City Pictures,USA,Callie Khouri,Comedy,20668843,Mad Money,PG-13,18-01-2008,104,5.8,Diane Keaton,17753,Glenn Gers,2008,49,9
35000000,Universal Pictures,USA,Malcolm D. Lee,Comedy,42436517,"Welcome Home, Roscoe Jenkins",PG-13,08-02-2008,100,5.4,Martin Lawrence,11439,Malcolm D. Lee,2008,442,22
0,Haut et Court,France,Laurent Cantet,Drama,3766595,The Class,PG-13,13-03-2009,128,7.5,François Bégaudeau,30748,Laurent Cantet,2008,1255,53
8000000,Kulture Machine,USA,Dennis Lee,Drama,3393161,Fireflies in the Garden,R,13-11-2009,99,6.5,Ryan Reynolds,11269,Robert Frost,2008,14,6
45000000,40 Acres & A Mule Filmworks,USA,Spike Lee,Action,7916887,Miracle at St. Anna,R,26-09-2008,160,6,Derek Luke,16239,James McBride,2008,105,7
7000000,Sony Pictures Classics,USA,David Mamet,Drama,2344847,Redbelt,R,09-05-2008,99,6.8,Chiwetel Ejiofor,19183,David Mamet,2008,257,19
10000000,Picturehouse,USA,Patricia Rozema,Drama,17655201,Kit Kittredge: An American Girl,G,02-07-2008,101,6.6,Abigail Breslin,4988,Ann Peacock,2008,1374,89
13000000,Lakeshore Entertainment,USA,Isabel Coixet,Drama,3581642,Elegy,R,29-08-2008,112,6.8,Ben Kingsley,20231,Nicholas Meyer,2008,6883,228
0,Picture Farm,UK,Rupert Wyatt,Crime,13023,The Escapist,NOT RATED,20-06-2008,102,6.8,Brian Cox,15204,Daniel Hardy,2008,104,9
6500000,Element Films,USA,Deb Hagan,Comedy,4693919,College,R,29-08-2008,100,4.6,Drake Bell,11342,Dan Callahan,2008,484,47
0,La Petite Reine,France,Jean-François Richet,Action,551660,Mesrine Part 1: Killer Instinct,R,22-10-2008,113,7.6,Vincent Cassel,28237,Jacques Mesrine,2008,2135,159
0,Niama Film,Germany,Nikolai Müllerschön,Action,36569,The Red Baron,PG-13,10-04-2008,106,6.4,Matthias Schweighöfer,10306,Nikolai Müllerschön,2008,9289,530
0,Louisiana Producers Film Source,USA,Tyler Perry,Drama,37019849,The Family That Preys,PG-13,12-09-2008,100,5.4,Kathy Bates,6087,Tyler Perry,2008,26,3
9000000,Bona Fide Productions,USA,Andrew Fleming,Comedy,4881867,Hamlet 2,R,27-08-2008,92,6.4,Steve Coogan,15574,Pam Brady,2008,581,43
10000000,New Crime Productions,USA,Joshua Seftel,Action,580862,"War, Inc.",R,13-06-2008,107,5.7,John Cusack,20411,Mark Leyner,2008,1900,226
130000000,Warner Bros.,USA,Zack Snyder,Action,107509799,Watchmen,R,06-03-2009,162,7.6,Jackie Earle Haley,419061,David Hayter,2009,38186,849
237000000,Twentieth Century Fox Film Corporation,UK,James Cameron,Action,760507625,Avatar,PG-13,18-12-2009,162,7.8,Sam Worthington,954412,James Cameron,2009,597,200
75000000,Universal Pictures,USA,Quentin Tarantino,Adventure,120540719,Inglourious Basterds,R,21-08-2009,153,8.3,Brad Pitt,988686,Quentin Tarantino,2009,3762,120
150000000,Paramount Pictures,USA,J.J. Abrams,Action,257730019,Star Trek,PG-13,08-05-2009,127,8,Chris Pine,532987,Roberto Orci,2009,2964,97
35000000,Warner Bros.,USA,Todd Phillips,Comedy,277322503,The Hangover,R,05-06-2009,100,7.8,Zach Galifianakis,622881,Jon Lucas,2009,250,165
250000000,Warner Bros.,UK,David Yates,Adventure,301959197,Harry Potter and the Half-Blood Prince,PG,15-07-2009,153,7.5,Daniel Radcliffe,362271,Steve Kloves,2009,4200,68
40000000,Twentieth Century Fox Film Corporation,USA,Wes Anderson,Animation,21002919,Fantastic Mr. Fox,PG,25-11-2009,87,7.8,George Clooney,154247,Roald Dahl,2009,242,88
23600000,Columbia Pictures,USA,Ruben Fleischer,Adventure,75590286,Zombieland,R,02-10-2009,88,7.7,Jesse Eisenberg,419201,Rhett Reese,2009,10256,543
25000000,Paramount Pictures,USA,Jason Reitman,Drama,83823381,Up in the Air,R,23-12-2009,109,7.4,George Clooney,283498,Walter Kirn,2009,2294,91
29000000,Alcon Entertainment,USA,John Lee Hancock,Biography,255959475,The Blind Side,PG-13,20-11-2009,100,7.7,Quinton Aaron,242741,John Lee Hancock,2009,25055,315
19000000,New Line Cinema,USA,Marcus Nispel,Horror,65002019,Friday the 13th,R,13-02-2009,97,5.6,Jared Padalecki,80586,Damian Shannon,2009,36445,2256
90000000,Warner Bros.,USA,Guy Ritchie,Action,209028679,Sherlock Holmes,PG-13,25-12-2009,128,7.6,Robert Downey Jr.,511547,Michael Robert Johnson,2009,1045,124
200000000,Columbia Pictures,USA,Roland Emmerich,Action,166112167,2012,PG-13,13-11-2009,158,5.8,John Cusack,303766,Roland Emmerich,2009,92075,9473
60000000,Focus Features,USA,Henry Selick,Animation,75286229,Coraline,PG,06-02-2009,100,7.7,Dakota Fanning,161158,Henry Selick,2009,511,227
150000000,Twentieth Century Fox Film Corporation,USA,Gavin Hood,Action,179883157,X-Men Origins: Wolverine,PG-13,01-05-2009,107,6.7,Hugh Jackman,397838,David Benioff,2009,272,116
175000000,Pixar Animation Studios,USA,Pete Docter,Animation,293004164,Up,PG,29-05-2009,96,8.3,Edward Asner,743601,Pete Docter,2009,645553,11841
47000000,Pan Européenne,Belgium,Jaco Van Dormael,Drama,3600,Mr. Nobody,R,26-09-2013,141,7.9,Jared Leto,173190,Jaco Van Dormael,2009,3296,72
11000000,StudioCanal,USA,Atom Egoyan,Drama,3074838,Chloe,R,26-03-2010,96,6.3,Julianne Moore,60262,Erin Cressida Wilson,2009,955,72
0,Vinod Chopra Productions,India,Rajkumar Hirani,Adventure,6532908,3 Idiots,PG-13,25-12-2009,170,8.4,Aamir Khan,250762,Rajkumar Hirani,2009,27308,3869
7500000,Fox Searchlight Pictures,USA,Marc Webb,Comedy,32391374,500 Days of Summer,PG-13,07-08-2009,95,7.7,Zooey Deschanel,407875,Scott Neustadter,2009,53654,1316
200000000,"Halcyon Company, The",USA,McG,Action,125322469,Terminator Salvation,PG-13,21-05-2009,115,6.6,Christian Bale,301842,John Brancato,2009,3311,126
5000000,Liberty Films UK,UK,Duncan Jones,Drama,5009677,Moon,R,10-07-2009,97,7.9,Sam Rockwell,283589,Duncan Jones,2009,53654,1316
200000000,DreamWorks,USA,Michael Bay,Action,402111870,Transformers: Revenge of the Fallen,PG-13,24-06-2009,150,6,Shia LaBeouf,343549,Ehren Kruger,2009,331,134
2000000,Tornasol Films,Argentina,Juan José Campanella,Drama,20167424,The Secret in Their Eyes,R,21-05-2010,129,8.2,Ricardo Darín,149747,Eduardo Sacheri,2009,12237,874
13000000,Yellow Bird,Sweden,Niels Arden Oplev,Drama,10095170,The Girl with the Dragon Tattoo,R,30-04-2010,152,7.8,Michael Nyqvist,185107,Nikolaj Arcel,2009,8364,417
30000000,Twentieth Century Fox Film Corporation,USA,James Wong,Action,9353573,Dragonball: Evolution,PG,10-04-2009,85,2.6,Justin Chatwin,60877,Ben Ramsey,2009,118172,2735
0,Boo Productions,Greece,Yorgos Lanthimos,Drama,110248,Dogtooth,UNRATED,11-11-2009,94,7.3,Christos Stergioglou,53533,Efthymis Filippou,2009,1366,150
0,Dark Castle Entertainment,USA,Jaume Collet-Serra,Horror,41596251,Orphan,R,24-07-2009,123,7,Vera Farmiga,157791,David Leslie Johnson,2009,12000,1400
30000000,TriStar Pictures,South Africa,Neill Blomkamp,Sci-Fi,115646235,Sector 9,R,14-08-2009,112,8,Sharlto Copley,566581,Neill Blomkamp,2009,11493,514
150000000,Columbia Pictures,USA,Ron Howard,Mystery,133375846,Angels & Demons,PG-13,15-05-2009,138,6.7,Tom Hanks,232877,David Koepp,2009,469138,16327
16000000,Fox Atomic,USA,Karyn Kusama,Comedy,16204793,Jennifer's Body,R,18-09-2009,102,5.1,Megan Fox,98187,Diablo Cody,2009,136,67
11000000,Zentropa Entertainments,Denmark,Lars von Trier,Drama,397070,Anticristo,NOT RATED,18-03-2011,108,6.6,Willem Dafoe,96352,Lars von Trier,2009,198,20
40000000,Touchstone Pictures,USA,Anne Fletcher,Comedy,163958031,The Proposal,PG-13,19-06-2009,108,6.7,Sandra Bullock,247443,Peter Chiarelli,2009,3607,511
25000000,Dimension Films,USA,John Hillcoat,Adventure,56692,The Road,R,18-12-2009,111,7.3,Viggo Mortensen,191196,Cormac McCarthy,2009,3280,136
50000000,"Film Department, The",USA,F. Gary Gray,Crime,73343413,Law Abiding Citizen,R,16-10-2009,109,7.4,Gerard Butler,232508,Kurt Wimmer,2009,98,35
65000000,Walt Disney Pictures,USA,Andy Fickman,Action,67172594,Race to Witch Mountain,PG,13-03-2009,98,5.7,Dwayne Johnson,46750,Matt Lopez,2009,1351,51
30000000,Curmudgeon Films,USA,Nick Cassavetes,Drama,49200230,My Sister's Keeper,PG-13,26-06-2009,109,7.4,Cameron Diaz,79925,Jeremy Leven,2009,11642,266
175000000,Paramount Pictures,USA,Stephen Sommers,Action,152267519,G.I. Joe: The Rise of Cobra,PG-13,07-08-2009,118,5.8,Dennis Quaid,182662,Stuart Beattie,2009,4509,230
15000000,Rogue Pictures,USA,Dennis Iliadis,Crime,32721635,The Last House on the Left,R,13-03-2009,110,6.6,Garret Dillahunt,72961,Adam Alleca,2009,13,6
85000000,Universal Pictures,USA,Justin Lin,Action,155064265,Fast & Furious,PG-13,03-04-2009,107,6.6,Vin Diesel,223114,Chris Morgan,2009,1407523,42333
65000000,DreamWorks,USA,Peter Jackson,Drama,43818839,The Lovely Bones,PG-13,15-01-2010,135,6.7,Rachel Weisz,133076,Fran Walsh,2009,14802,318
40000000,New Line Cinema,Germany,Ken Kwapis,Comedy,93953653,A él no le gustas tanto,PG-13,06-02-2009,129,6.4,Jennifer Aniston,139962,Abby Kohn,2009,3435,43
0,Six Entertainment,Netherlands,Tom Six,Horror,181467,The Human Centipede (First Sequence),R,28-04-2010,92,4.4,Dieter Laser,62034,Tom Six,2009,1693,439
33000000,Constantin Film,Germany,Christian Alvart,Action,10330853,Pandorum,R,25-09-2009,108,6.8,Dennis Quaid,128906,Travis Milloy,2009,7811,85
100000000,Universal Pictures,USA,Michael Mann,Biography,97104620,Public Enemies,R,01-07-2009,140,7,Christian Bale,244316,Ronan Bennett,2009,17,7
20000000,New Line Cinema,USA,Burr Steers,Comedy,64167069,17 Again,PG-13,17-04-2009,102,6.4,Zac Efron,155399,Jason Filardi,2009,62958,2548
7000000,Fade to Black Productions,USA,Tom Ford,Drama,9166863,A Single Man,R,05-02-2010,99,7.6,Colin Firth,92447,Christopher Isherwood,2009,751,35
80000000,Touchstone Pictures,USA,Jonathan Mostow,Action,38577772,Surrogates,PG-13,25-09-2009,89,6.3,Bruce Willis,157149,Michael Ferris,2009,2947,148
50000000,Temple Hill Entertainment,USA,Chris Weitz,Adventure,296623634,The Twilight Saga: New Moon,PG-13,20-11-2009,130,4.6,Kristen Stewart,232524,Melissa Rosenberg,2009,13154,732
15000000,Lionsgate,USA,Patrick Lussier,Horror,51545952,My Bloody Valentine,R,16-01-2009,101,5.5,Jensen Ackles,47784,Todd Farmer,2009,3912,103
105000000,Walt Disney Animation Studios,USA,Ron Clements,Animation,104400899,The Princess and the Frog,G,11-12-2009,97,7.1,Anika Noni Rose,97887,Ron Clements,2009,775,58
40000000,Infinity Features Entertainment,UK,Terry Gilliam,Adventure,7689607,The Imaginarium of Doctor Parnassus,PG-13,08-01-2010,123,6.8,Christopher Plummer,131731,Terry Gilliam,2009,111,1
40000000,DreamWorks,USA,John Hamburg,Comedy,71440011,"I Love You, Man",R,20-03-2009,105,7,Paul Rudd,174712,John Hamburg,2009,87,9
40000000,Universal Pictures,USA,Paul Weitz,Action,13838130,Cirque du Freak: The Vampire's Assistant,PG-13,23-10-2009,100,5.9,Chris Massoglia,37859,Paul Weitz,2009,3179,281
0,DreamWorks,USA,Charles Guard,Drama,28573173,The Uninvited,PG-13,30-01-2009,87,6.4,Emily Browning,66806,Craig Rosenberg,2009,18,15
0,Fidélité Films,France,Gaspar Noé,Drama,336467,Enter the Void,NOT RATED,05-05-2010,161,7.3,Nathaniel Brown,51942,Gaspar Noé,2009,2434,43
35000000,GK Films,UK,Jean-Marc Vallée,Biography,11001272,The Young Victoria,PG,08-01-2010,100,7.3,Emily Blunt,49189,Julian Fellowes,2009,899,18
26000000,Lionsgate,USA,Jim Sheridan,Drama,28501651,Brothers,R,04-12-2009,105,7.1,Jake Gyllenhaal,94974,David Benioff,2009,262402,7884
900000,MPI Media Group,USA,Ti West,Horror,100659,The House of the Devil,R,04-05-2012,95,6.4,Jocelin Donahue,33194,Ti West,2009,393,45
15000000,Dimension Films,USA,Rob Zombie,Horror,33392973,Halloween II,R,28-08-2009,105,4.9,Scout Taylor-Compton,39233,Rob Zombie,2009,2400,58
0,BBC Films,Denmark,Nicolas Winding Refn,Adventure,17546,Valhalla Rising,NOT RATED,31-03-2010,93,6,Mads Mikkelsen,47214,Nicolas Winding Refn,2009,5284,533
38000000,Columbia Pictures,USA,Robert Luketic,Comedy,88915214,The Ugly Truth,R,24-07-2009,96,6.5,Katherine Heigl,175985,Nicole Eastman,2009,8016,301
60000000,Columbia Pictures,USA,Harold Ramis,Adventure,43337279,Year One,PG-13,19-06-2009,97,4.9,Jack Black,80204,Harold Ramis,2009,1593,120
20000000,Screen Gems,USA,Will Gluck,Comedy,17231291,Fired Up!,PG-13,20-02-2009,90,6.2,Eric Christian Olsen,38879,Will Gluck,2009,347374,27687
40000000,Columbia Pictures,USA,Nora Ephron,Biography,94125426,Julie & Julia,PG-13,07-08-2009,118,7,Amy Adams,86198,Nora Ephron,2009,17836,6617
30000000,Focus Features,USA,Shane Acker,Animation,31743332,9,PG-13,09-09-2009,79,7.1,Elijah Wood,117268,Pamela Pettler,2009,109,16
40000000,New Line Cinema,USA,David R. Ellis,Horror,66477700,The Final Destination,R,28-08-2009,82,5.2,Nick Zano,81274,Eric Bress,2009,34454,4115
20000000,Fox Searchlight Pictures,USA,George Tillman Jr.,Biography,36842118,Notorious,R,16-01-2009,122,6.7,Jamal Woolard,34791,Reggie Rock Bythewood,2009,1064285,46206
80000000,The Weinstein Company,UK,Rob Marshall,Drama,19664021,Nine,PG-13,25-12-2009,118,5.8,Daniel Day-Lewis,39041,Michael Tolkin,2009,30423,708
5000000,CJ Entertainment,South Korea,Joon-ho Bong,Action,547292,Mother,R,28-05-2009,129,7.8,Hye-ja Kim,31822,Joon-ho Bong,2009,691,17
8500000,Pathé Renn Productions,UK,Jane Campion,Biography,4444637,Bright Star,PG,09-10-2009,119,7,Abbie Cornish,22535,Jane Campion,2009,616,10
38000000,Summit Entertainment,USA,Paul McGuigan,Action,31806100,Push,PG-13,06-02-2009,111,6.1,Camilla Belle,95423,David Bourla,2009,7436,197
75000000,Universal Pictures,USA,Judd Apatow,Comedy,51855045,Funny People,R,31-07-2009,146,6.3,Adam Sandler,104307,Judd Apatow,2009,6527,865
10000000,Lionsgate,USA,Lee Daniels,Drama,47395661,Precious,R,20-11-2009,110,7.3,Gabourey Sidibe,93354,Geoffrey Fletcher,2009,222,6
11000000,Twisted Pictures,Canada,Kevin Greutert,Horror,27669413,El juego del miedo VI,R,23-10-2009,90,6,Tobin Bell,83129,Patrick Melton,2009,163,11
0,BBC Films,UK,Lone Scherfig,Drama,12574715,An Education,PG-13,05-02-2010,100,7.3,Carey Mulligan,117159,Lynn Barber,2009,1356,36
50000000,Lionsgate,USA,Mark Neveldine,Action,20488579,Gamer,R,04-09-2009,95,5.8,Gerard Butler,118535,Mark Neveldine,2009,4269,253
30000000,Fox 2000 Pictures,USA,Gary Winick,Comedy,58715510,Bride Wars,PG,09-01-2009,89,5.5,Kate Hudson,86156,Greg DePaul,2009,975,34
60000000,Universal Pictures,USA,Peter Billingsley,Comedy,109205660,Couples Retreat,PG-13,09-10-2009,113,5.5,Vince Vaughn,87743,Jon Favreau,2009,6258,200
30000000,Universal Pictures,USA,Sam Raimi,Horror,42100625,Drag Me to Hell,PG-13,29-05-2009,99,6.6,Alison Lohman,166655,Sam Raimi,2009,8276,746
50000000,Universal Pictures,UK,Richard Curtis,Comedy,7994115,Pirate Radio,R,13-11-2009,135,7.4,Philip Seymour Hoffman,95825,Richard Curtis,2009,30,7
26000000,Gaumont,Canada,Vincenzo Natali,Drama,16999046,Splice: experimento mortal,R,04-06-2010,104,5.8,Adrien Brody,83205,Vincenzo Natali,2009,30,7
35000000,Sketch Films,USA,Patrick Tatopoulos,Action,45802315,Underworld: Rise of the Lycans,R,23-01-2009,92,6.6,Rhona Mitra,132542,Danny McBride,2009,741,43
20000000,Lionsgate,Australia,Michael Spierig,Action,30101577,La hermandad,R,08-01-2010,98,6.5,Ethan Hawke,110514,Michael Spierig,2009,1992,276
175000000,DreamWorks Animation,USA,Rob Letterman,Animation,198351526,Monsters vs. Aliens,PG,27-03-2009,94,6.5,Reese Witherspoon,123919,Maya Forbes,2009,915,53
26000000,Columbia Pictures,USA,Steve Carr,Action,20819129,Paul Blart: Mall Cop,PG,16-01-2009,91,5.2,Kevin James,89303,Kevin James,2009,103,53
100000000,Columbia Pictures,USA,Tony Scott,Action,65452312,The Taking of Pelham 123,R,12-06-2009,106,6.4,Denzel Washington,160641,Brian Helgeland,2009,1584,93
39000000,New Line Cinema,USA,Robert Schwentke,Drama,63414846,The Time Traveler's Wife,PG-13,14-08-2009,107,7.1,Eric Bana,122959,Bruce Joel Rubin,2009,17143,266
50000000,Summit Entertainment,USA,Alex Proyas,Drama,79957634,Knowing,PG-13,20-03-2009,121,6.2,Nicolas Cage,197063,Ryne Douglas Pearson,2009,2041,63
7000000,Focus Features,USA,Ethan Coen,Comedy,9190525,A Serious Man,R,06-11-2009,106,7,Michael Stuhlbarg,110208,Joel Coen,2009,1433,56
100000000,Columbia Pictures,USA,Phil Lord,Animation,124870275,Cloudy with a Chance of Meatballs,PG,18-09-2009,90,7,Anna Faris,167156,Phil Lord,2009,377,185
25000000,BBC Films,USA,Grant Heslov,Comedy,32416109,The Men Who Stare at Goats,R,06-11-2009,94,6.2,Ewan McGregor,114722,Jon Ronson,2009,4761,512
6000000,Fox Atomic,USA,Zach Cregger,Comedy,4542775,Miss March,R,13-03-2009,90,5,Zach Cregger,19111,Zach Cregger,2009,94,12
0,Miramax,USA,Greg Mottola,Comedy,16025394,Adventureland,R,03-04-2009,100,6.8,Jesse Eisenberg,139072,Greg Mottola,2009,8,7
16000000,Warner Bros.,USA,Richard Kelly,Drama,15045676,The Box,PG-13,06-11-2009,115,5.6,Cameron Diaz,80381,Richard Kelly,2009,1725,120
6000000,LD Entertainment,USA,Marcus Dunstan,Horror,7706394,The Collector,R,31-07-2009,90,6.4,Josh Stewart,47291,Patrick Melton,2009,30949,382
60000000,Warner Bros.,USA,Clint Eastwood,Biography,37491364,Invictus,PG-13,11-12-2009,134,7.4,Morgan Freeman,132427,Anthony Peckham,2009,44,16
0,Screen Gems,USA,Nelson McCormick,Crime,29062561,The Stepfather,PG-13,16-10-2009,101,5.6,Penn Badgley,25186,J.S. Cardone,2009,13717,2601
150000000,Twentieth Century Fox Film Corporation,USA,Shawn Levy,Adventure,177243721,Night at the Museum: Battle of the Smithsonian,PG,22-05-2009,105,5.9,Ben Stiller,143636,Robert Ben Garant,2009,67,23
100000000,Universal Pictures,USA,Brad Silberling,Adventure,49438370,Land of the Lost,PG-13,05-06-2009,102,5.4,Will Ferrell,54864,Chris Henchy,2009,1139,55
26000000,Paramount Vantage,USA,Christian Alvart,Horror,13248477,Case 39,R,01-10-2010,109,6.2,Renée Zellweger,65254,Ray Wright,2009,1250,47
85000000,Universal Pictures,USA,Nancy Meyers,Comedy,112735375,It's Complicated,R,25-12-2009,100,6.6,Meryl Streep,74245,Nancy Meyers,2009,16,5
100000000,Warner Bros.,Germany,Spike Jonze,Adventure,77233467,Donde viven los monstruos,PG,16-10-2009,101,6.8,Max Records,91833,Spike Jonze,2009,431,40
20000000,Lionsgate,USA,Mark Neveldine,Action,13630226,Crank: High Voltage,R,17-04-2009,96,6.2,Jason Statham,121567,Mark Neveldine,2009,61,1
7000000,Fox Searchlight Pictures,USA,Scott Cooper,Drama,39462438,Crazy Heart,R,05-02-2010,112,7.3,Jeff Bridges,73161,Scott Cooper,2009,4498,120
16000000,Rogue Pictures,USA,David S. Goyer,Drama,42670410,The Unborn,PG-13,09-01-2009,88,4.8,Odette Annable,44283,David S. Goyer,2009,1678,107
35000000,DreamWorks,Germany,Thor Freudenthal,Comedy,73034460,Hotel para perros,PG,16-01-2009,100,5.4,Emma Roberts,17784,Jeff Lowell,2009,402,40
30000000,It's a Laugh Productions,USA,Peter Chelsom,Comedy,79566871,Hannah Montana: The Movie,G,10-04-2009,102,4.3,Miley Cyrus,34118,Dan Berendsen,2009,3566,257
0,Yellow Bird,Sweden,Daniel Alfredson,Crime,9081782,The Girl Who Played with Fire,R,27-08-2010,129,7.2,Noomi Rapace,78771,Jonas Frykberg,2009,18,10
70000000,Mod Producciones,Spain,Alejandro Amenábar,Adventure,617840,Agora,R,10-09-2010,127,7.2,Rachel Weisz,56850,Alejandro Amenábar,2009,15,6
20000000,Screen Gems,USA,Steve Shill,Drama,68261644,Obsessed,PG-13,24-04-2009,108,4.9,Beyoncé Knowles,24499,David Loughery,2009,136919,2642
0,Universal Pictures,USA,Kevin Macdonald,Drama,37017955,State of Play,PG-13,17-04-2009,127,7.1,Russell Crowe,118835,Matthew Michael Carnahan,2009,318,37
