budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Likes,Dislike
210000000,Twentieth Century Fox Film Corporation,Canada,Brett Ratner,Action,234362462,X-Men III: La batalla final,PG-13,26-05-2006,104,6.7,Patrick Stewart,415430,Simon Kinberg,2006,259,2
70000000,Columbia Pictures Corporation,USA,Frank Coraci,Comedy,137355633,Click,PG-13,23-06-2006,107,6.4,Adam Sandler,263834,Steve Koren,2006,736,28
52000000,Universal Pictures,USA,Peyton Reed,Comedy,118703275,The Break-Up,PG-13,02-06-2006,106,5.8,Jennifer Aniston,108341,Jeremy Garelick,2006,235420,9745
75000000,Touchstone Pictures,USA,Tony Scott,Action,64038616,Deja Vu,PG-13,22-11-2006,126,7,Denzel Washington,258182,Bill Marsilii,2006,868854,20983
0,Twentieth Century Fox Film Corporation,USA,Nicholaus Goossen,Comedy,6088249,Grandma's Boy,R,06-01-2006,94,7,Allen Covert,70595,Barry Wernick,2006,12,2
12000000,Touchstone Pictures,USA,Anne Fletcher,Crime,65328121,Step Up,PG-13,11-08-2006,104,6.5,Channing Tatum,97712,Duane Adler,2006,19194,874
135000000,Universal Pictures,USA,Michael Mann,Action,63450470,Miami Vice,R,28-07-2006,134,6,Colin Farrell,97434,Michael Mann,2006,76995,1623
209000000,Warner Bros.,USA,Bryan Singer,Action,200081192,Superman Returns,PG-13,28-06-2006,154,6.1,Brandon Routh,249656,Michael Dougherty,2006,5194,335
18000000,Twentieth Century Fox Film Corporation,USA,Betty Thomas,Comedy,41011711,John Tucker Must Die,PG-13,28-07-2006,89,5.8,Jesse Metcalfe,71344,Jeff Lowell,2006,5103,151
72500000,Columbia Pictures,USA,Adam McKay,Action,148213377,Talladega Nights: The Ballad of Ricky Bobby,PG-13,04-08-2006,108,6.6,Will Ferrell,140305,Will Ferrell,2006,484,199
150000000,Paramount Pictures,USA,J.J. Abrams,Action,134029801,Mission: Impossible III,PG-13,05-05-2006,126,6.9,Tom Cruise,275630,Alex Kurtzman,2006,3754,334
18000000,Four by Two,USA,Larry Charles,Comedy,128505958,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,03-11-2006,84,7.3,Sacha Baron Cohen,312878,Sacha Baron Cohen,2006,382,218
